,precision,recall,f1-score,support
Post-30s,0.7308140891066014,0.6855579868708972,0.7074630235971547,9140.0
Pre-30s,0.7505857849518355,0.7893584010221776,0.7694839857651246,10957.0
accuracy,0.7421505697367766,0.7421505697367766,0.7421505697367766,0.7421505697367766
macro avg,0.7406999370292184,0.7374581939465374,0.7384735046811397,20097.0
weighted avg,0.7415937314102402,0.7421505697367766,0.7412772089220513,20097.0
